Hyper Sports	(Master System)
Impossible Mission	(Master System)
Incredible Crash Dummies, The	(Master System)
Incredible Hulk, The	(Master System)
Indiana Jones and the Last Crusade	(Master System)
James 'Buster' Douglas Knockout Boxing	(Master System)
James Bond 007 - The Duel	(Master System)
James Pond II - Codename Robocod	(Master System)
Jang Pung 3	(Master System)
Janggun-ui Adeul	(Master System)
Joe Montana Football	(Master System)
Jungle Book, The	(Master System)
Jurassic Park	(Master System)
Kagaku (Gensokigou Master)	(Master System)
Kamikaze	(Master System)
Kenseiden	(Master System)
King & Balloon	(Master System)
King's Quest - Quest for the Crown	(Master System)
King's Valley	(Master System)
Klax	(Master System)
Knightmare II - The Maze of Galious	(Master System)
Krusty's Fun House	(Master System)
Kung Fu Kid	(Master System)
Land of Illusion Starring Mickey Mouse	(Master System)
Laser Ghost	(Master System)
Legend of Illusion Starring Mickey Mouse	(Master System)
Lemmings	(Master System)
Line of Fire	(Master System)
LinkWord	(Master System)
Lion King, The	(Master System)
Lode Runner	(Master System)
Loletta no Syouzou	(Master System)
Lord of the Sword	(Master System)
Loriciel's Z-80 Utilities Disk	(Master System)
Lucky Dime Caper, The - Starring Donald Duck	(Master System)
Magical Kid Wiz	(Master System)
Magical Tree	(Master System)
Mahjong Sengoku Jidai	(Master System)
Mahjong	(Master System)
Marble Madness	(Master System)
Marksman Shooting - Trap Shooting - Safari Hunt	(Master System)
Marksman Shooting - Trap Shooting	(Master System)
Master of Darkness	(Master System)
Masters of Combat	(Master System)
Maze Hunter 3D	(Master System)
Megumi Rescue	(Master System)
Mercs	(Master System)
Michael Jackson's Moonwalker	(Master System)
Mick & Mack as The Global Gladiators	(Master System)
Mickey's Ultimate Challenge	(Master System)
Micro Machines	(Master System)
Micro Xevious, The	(Master System)
Miracle Warriors - Seal of the Dark Lord	(Master System)
Missile Defense 3-D	(Master System)
Monaco GP	(Master System)
Monopoly	(Master System)
Montezuma's Revenge Featuring Panama Joe	(Master System)
Ms. Pac-Man	(Master System)
My Hero	(Master System)
N-Sub	(Master System)
Nekyuu Kousien	(Master System)
Nemesis	(Master System)
New Boggle Boggle	(Master System)
New Zealand Story, The	(Master System)
Nihonshi Nenpyou	(Master System)
Ninja Gaiden	(Master System)
Ninja Princess	(Master System)
Ninja, The	(Master System)
Olympiades	(Master System)
Olympic Gold	(Master System)
Operation Wolf	(Master System)
Orguss	(Master System)
Othello	(Master System)
Ottifants, The	(Master System)
OutRun 3D	(Master System)
OutRun Europa	(Master System)
OutRun	(Master System)
Pac-Man	(Master System)
Pac-Mania	(Master System)
Pacar	(Master System)
Pachinko II	(Master System)
Pachinko	(Master System)
Paperboy	(Master System)
Parlour Games	(Master System)
Pat Riley Basketball	(Master System)
Penguin Adventure	(Master System)
Penguin Land	(Master System)
Phantasy Star	(Master System)
Ping Pong (Konami's)	(Master System)
Pit Fighter	(Master System)
Pitfall II - The Lost Caverns	(Master System)
Pooyan	(Master System)
Pop Breaker	(Master System)
Pop Flamer	(Master System)
Populous	(Master System)
Poseidon Wars - Space Panic - Rambo	(Master System)
Poseidon Wars 3D	(Master System)
Power Boggle Boggle	(Master System)
Power Strike II	(Master System)
Power Strike	(Master System)
Predator 2	(Master System)
Prince of Persia	(Master System)
Pro Wrestling	(Master System)
Promocao Especial M.System III Compact	(Master System)
Psychic World	(Master System)
Psycho Fox	(Master System)
Putt & Putter	(Master System)
Puznic	(Master System)
Q-bert	(Master System)
Quartet	(Master System)
R-Type	(Master System)
R.C. Grand Prix	(Master System)
Rainbow Islands	(Master System)
Rambo - First Blood Part 2	(Master System)
Rambo III	(Master System)
Rampage	(Master System)
Rampart	(Master System)
Rastan	(Master System)
Ren & Stimpy - Quest for the Shaven Yak, The	(Master System)
Renegade	(Master System)
Rescue Mission	(Master System)
Road Rash	(Master System)
Robocop 3	(Master System)
Robocop versus The Terminator	(Master System)
Rock N' Bolt	(Master System)
Rocky	(Master System)
Running Battle	(Master System)
Safari Hunting	(Master System)
Safari Race	(Master System)
Sagaia	(Master System)
Samgukji III	(Master System)
San-Nin Mahjong	(Master System)
Satellite 7	(Master System)
Scramble Spirits	(Master System)
Sega Chess	(Master System)
Sega Flipper	(Master System)
Sega Galaga	(Master System)
SegaWord 3	(Master System)
Sekaishi Nenpyou	(Master System)
Sensible Soccer	(Master System)
Serizawa Hachidan no Tsumeshogi	(Master System)
Shadow Dancer - The Secret of Shinobi	(Master System)
Shadow of the Beast	(Master System)
Shanghai	(Master System)
Shinnyushain Tooru Kun	(Master System)
Shinobi	(Master System)
Shooting Gallery	(Master System)
Simpsons, The - Bart vs. the Space Mutants	(Master System)
Simpsons, The - Bart vs. the World	(Master System)
Sindbad Mystery	(Master System)
Sitio do Picapau Amarelo	(Master System)
Sky Jaguar	(Master System)
Slap Shot	(Master System)
Smurfs Travel the World, The	(Master System)
Smurfs, The	(Master System)
Solomon no Kagi - Oujo Rihita no Namida	(Master System)
Sonic Blast	(Master System)
Sonic Chaos	(Master System)
Sonic Spinball	(Master System)
Sonic The Hedgehog 2	(Master System)
Sonic The Hedgehog	(Master System)
Sonic's Edusoft	(Master System)
Soukoban	(Master System)
Space Armor	(Master System)
Space Gun	(Master System)
Space Harrier 3D	(Master System)
Space Harrier	(Master System)
Space Invaders	(Master System)
Space Mountain	(Master System)
Space Slalom	(Master System)
Special Criminal Investigation	(Master System)
Speedball 2	(Master System)
Speedball	(Master System)
Spellcaster	(Master System)
Spider-Man - Return of the Sinister Six	(Master System)
Spider-Man vs. the Kingpin	(Master System)
Spy vs. Spy	(Master System)
Star Force	(Master System)
Star Jacker	(Master System)
Star Wars	(Master System)
Street Fighter II'	(Master System)
Street Master	(Master System)
Streets of Rage II	(Master System)
Streets of Rage	(Master System)
Strider II	(Master System)
Strider	(Master System)
Submarine Attack	(Master System)
Suho Cheonsa	(Master System)
Sukeban Deka II - Shoujo Tekkamen Densetsu	(Master System)
Super Bubble Bobble	(Master System)
Super Jeux Yeno Examples	(Master System)
Super Kick Off	(Master System)
Super Monaco GP	(Master System)
Super Off-Road	(Master System)
Super Racing	(Master System)
Super Smash TV	(Master System)
Super Space Invaders	(Master System)
Super Tank	(Master System)
Superman	(Master System)
T2 - The Arcade Game	(Master System)
Taito Chase H.Q.	(Master System)
Taz in Escape From Mars	(Master System)
Taz-Mania	(Master System)
Teddy Boy	(Master System)
Tensai Bakabon	(Master System)
Terebi Oekaki	(Master System)
Terminator 2 - Judgment Day	(Master System)
Terminator, The	(Master System)
Three Dragon Story, The	(Master System)
Thunder Blade	(Master System)
Time Soldiers	(Master System)
Tom and Jerry - The Movie	(Master System)
Toto World 3	(Master System)
TransBot	(Master System)
Trivial Pursuit	(Master System)
Ultima IV - Quest of the Avatar	(Master System)
Ultimate Soccer	(Master System)
Uranai Angel Cutie	(Master System)
Vigilante	(Master System)
Virtua Fighter Animation	(Master System)
Wanted	(Master System)
Where in the World is Carmen Sandiego	(Master System)
Wimbledon II	(Master System)
Wimbledon	(Master System)
Wolf Child	(Master System)
Wonder Boy (SG-1000)	(Master System)
Wonder Boy III - The Dragon's Trap	(Master System)
Wonder Boy in Monster Land	(Master System)
Wonder Boy in Monster World	(Master System)
Wonder Boy	(Master System)
Wonsiin	(Master System)
Woody Pop - Shinjinrui no Block Kuzushi	(Master System)
WWF Wrestlemania Steel Cage Challenge	(Master System)
X-Men - Mojo World	(Master System)
Xenon 2	(Master System)
Xyzolog	(Master System)
Yamato	(Master System)
Yeno Draw	(Master System)
Yie Ar Kung-Fu	(Master System)
Ys - The Vanished Omens	(Master System)
Zaxxon 3-D	(Master System)
Zaxxon	(Master System)
Zillion II - The Tri Formation	(Master System)
Zillion	(Master System)
Zippy Race	(Master System)
Zool	(Master System)
Zoom 909	(Master System)
Aa Harimanada	(GameGear)
Addams Family, The	(GameGear)
Adventures of Batman & Robin, The	(GameGear)
Aerial Assault	(GameGear)
Aladdin	(GameGear)
Alien 3	(GameGear)
Alien Syndrome	(GameGear)
Andre Agassi Tennis	(GameGear)
Arcade Classics	(GameGear)
Arch Rivals	(GameGear)
Arena	(GameGear)
Ariel the Little Mermaid	(GameGear)
Arliel - Crystal Densetsu	(GameGear)
Asterix and the Great Rescue	(GameGear)
Ax Battler - A Legend of Golden Axe 	(GameGear)
Baku Baku Animal	(GameGear)
Barbie Super Model	(GameGear)
Bartman Meets Radioactive Man	(GameGear)
Batman Forever	(GameGear)
Batman Returns	(GameGear)
Batter Up	(GameGear)
Battleship	(GameGear)
Battletoads	(GameGear)
Battletoads	(GameGear)
Beavis and Butt-head (USA, Europe)	(GameGear)
Beavis and Butt-head	(GameGear)
Berenstain Bears' Camping Adventure, The	(GameGear)
Berlin no Kabe	(GameGear)
Bishoujo Senshi Sailor Moon S	(GameGear)
Bonkers Wax Up!	(GameGear)
Bram Stoker's Dracula	(GameGear)
Bubble Bobble	(GameGear)
Bugs Bunny in Double Trouble	(GameGear)
Bust-A-Move	(GameGear)
Buster Ball	(GameGear)
Buster Fight	(GameGear)
Caesars Palace	(GameGear)
Captain America and the Avengers	(GameGear)
Car Licence	(GameGear)
Casino Funpak	(GameGear)
Castle of Illusion Starring Mickey Mouse	(GameGear)
Chakan	(GameGear)
Chessmaster, The	(GameGear)
Chicago Syndicate	(GameGear)
Choplifter III	(GameGear)
Chuck Rock	(GameGear)
Chuck Rock II - Son of Chuck	(GameGear)
Cliffhanger	(GameGear)
Clutch Hitter	(GameGear)
Coca Cola Kid	(GameGear)
Columns	(GameGear)
Columns	(GameGear)
Cool Spot	(GameGear)
Cosmic Spacehead	(GameGear)
Crayon Shin-chan - Taiketsu! Kantam Panic!!	(GameGear)
Crystal Warriors	(GameGear)
Cutthroat Island	(GameGear)
Daffy Duck in Hollywood (Europe)	(GameGear)
Deep Duck Trouble Starring Donald Duck	(GameGear)
Defenders of Oasis	(GameGear)
Desert Speedtrap (Europe)	(GameGear)
Desert Speedtrap	(GameGear)
Desert Strike - Return to the Gulf	(GameGear)
