Wai Wai World  [NES]
Widget  [NES]
Wing of Madoola, The  [NES]
Wizards & Warriors   [NES]
Yo! Noid  [NES]
Yume Penguin Monogatari [NES]
Zelda II - The Adventure of Link  [NES]
Zen - Intergalactic Ninja  [NES]
Adventures of Batman and Robin, The   [SMD]
Aero the Acro-Bat   [SMD]
Aero the Acro-Bat 2   [SMD]
Alien Soldier   [SMD]
Alisia Dragoon   [SMD]
Awesome Possum Kicks Dr. Machino's Butt!   [SMD]
B.O.B    [SMD]
Bare Knuckle III   [SMD]
Blades of Vengeance   [SMD]
Blaster Master 2   [SMD]
Boogerman   [SMD]
Bram Stoker's Dracula   [SMD]
Bubba N Stix   [SMD]
Bubsy in Claws Encounters of the Furred Kind   [SMD]
Bugs Bunny in Double Trouble   [SMD]
Castlevania - Bloodlines   [SMD]
Comix Zone   [SMD]
Contra - Hard Corps   [SMD]
Cool Spot   [SMD]
Doom Troopers - The Mutant Chronicles [SMD]
Earthworm Jim   [SMD]
Earthworm Jim 2   [SMD]
Fantasia    [SMD]
Fantastic Dizzy    [SMD]
Gargoyles   [SMD]
Gauntlet 4  (Aug 1993)  [SMD]
Ghouls 'N Ghosts    [SMD]
Gods   [SMD]
Golden Axe    [SMD]
Golden Axe II   [SMD]
Golden Axe III   [SMD]
Gunstar Heroes   [SMD]
Haunting Starring Polterguy   [SMD]
Incredible Hulk, The   [SMD]
Jungle Book, The   [SMD]
Kid Chameleon   [SMD]
Magical Taluluto-kun  [SMD]
Mega Turrican   [SMD]
Monster World IV [SMD]
Phantom 2040   [SMD]
Pirates of Dark Water, The   [SMD]
Pitfall - The Mayan Adventure   [SMD]
Quack Shot Starring Donald Duck    [SMD]
Radical Rex   [SMD]
Ristar   [SMD]
Robocop Versus The Terminator   [SMD]
Rocket Knight Adventures   [SMD]
Shadow Dancer - The Secret of Shinobi  [p1] [SMD]
Shinobi III - Return of the Ninja Master   [SMD]
Skeleton Krew   [SMD]
Smurfs, The    [SMD]
Soldiers of Fortune   [SMD]
Sonic and Knuckles & Sonic 3   [SMD]
Sonic The Hedgehog    [SMD]
Sonic The Hedgehog 2    [SMD]
Sparkster   [SMD]
Splatterhouse 3   [SMD]
Spot Goes to Hollywood    [SMD]
Stormlord   [SMD]
Streets of Rage 2   [SMD]
Strider   [SMD]
Taz-Mania   [SMD]
Teenage Mutant Ninja Turtles - The Hyperstone Heist   [SMD]
Theme Park   [SMD]
Tiny Toon Adventures - Buster's Hidden Treasure   [SMD]
Toki - Going Ape Spit   [SMD]
True Lies   [SMD]
Vectorman   [SMD]
Vectorman 2   [SMD]
Warlock   [SMD]
3 Ninjas Kick Back  [SNES]
ActRaiser   [SNES]
ActRaiser 2   [SNES]
Aladdin   [SNES]
Alien 3   [SNES]
Ardy Lightfoot  [SNES]
Assault Suits Valken / Cybernator [SNES]
Battletoads in Battlemaniacs   [SNES]
Bishoujo Senshi Sailor Moon R [SNES]
Castlevania - Dracula X   [SNES]
Contra III - The Alien Wars   [SNES]
Congo's Caper [SNES]
Cybernator  [SNES]
